Id,text,span,counter_narrative,label
450,An unfounded grievance escalated to court is portrayed as a publicity stunt by activists.,unfounded grievance escalated to court,"Disagreements should be resolved honestly in court, without resorting to publicity stunts.",Transphobia
451,Obscene humor aimed at gay men is used to demean their identity.,obscene humor aimed at gay men,Sexual orientation should never be mocked; respect is the foundation of healthy dialogue.,Homophobia
452,Vulgar humor about physical acts targeting gays is circulated to humiliate them.,vulgar humor about physical acts targeting gays,Humor that degrades people for who they are contributes to prejudice and discrimination.,Homophobia
453,Campaigns deploy technical legal loopholes undermining equality to attack rights laws.,technical legal loopholes undermining equality,"Equality laws protect everyone, and undermining them weakens society as a whole.",Homophobia
454,Disparaging remarks on same-sex affection are spread to reinforce stigma.,disparaging remarks on same-sex affection,"Love and affection between consenting adults should be respected, not stigmatized.",Homophobia
455,Hate rhetoric deploys repulsive commentary on same-sex relations to rationalize exclusion.,repulsive commentary on same-sex relations,"Respectful dialogue should replace harmful language, and same-sex relationships deserve dignity.",Homophobia
456,Sensational reports exaggerate accusations of trans misconduct in travel settings to stoke fear.,exaggerate accusations of trans misconduct in travel settings,"Claims about misconduct should be based on facts, not exaggerated to create fear.",Transphobia
457,LGBT people are portrayed through a recurring blackmail stereotype to criminalize the community.,recurring blackmail stereotype,Stereotypes that label people as criminals without evidence perpetuate prejudice.,Transphobia
458,Narratives lean on persistent allegations of improper queer behavior to smear everyone under the label.,persistent allegations of improper queer behavior,Generalizing negative behavior to an entire community is unjust and inaccurate.,Transphobia
459,A fabricated accusation of illegal transgender activity is cited to block equal rights.,fabricated accusation of illegal transgender activity,False accusations harm both individuals and the fight for equal rights.,Transphobia
460,LGBT riders are depicted as creating disturbances in transportation spaces that inconvenience others.,creating disturbances in transportation spaces,"Public transportation should be safe and inclusive for all riders, regardless of identity.",Transphobia
461,An invented story of sex-for-meals exchanges circulates to dismiss genuine hardship.,invented story of sex-for-meals exchanges,Fabricated hardship stories discredit those who truly need support and compassion.,Transphobia
462,Appeals for support are labeled an alleged transgender struggle ploy to undercut empathy.,alleged transgender struggle ploy,Requests for understanding and support from transgender people are valid and deserve empathy.,Transphobia
463,A baseless claim of queer economic exploitation is used to inflame public resentment.,baseless claim of queer economic exploitation,Economic claims should be truthful; targeting communities with false accusations fuels division.,Transphobia
